ts	phase	decision	why	evidence	result
2026-08-28T18:24:00Z	frame	simplify old place gather only, leave damn_lines.py alone	new queue code is fine, the horror is discover_places and search_local_places	discover_places.py 1000 lines, search_local_places.py 432 lines, damn_lines.py 514 lines	open
2026-08-28T18:24:30Z	frame	predicate: net lines down, radon CC down, ruff C901/PLR still 0, focused tests green, function count must not rise	extract-only peels grow files, this pass forbids a helper that adds net lines	radon execute 29, _verify 19, _search/_persist/_queue_digest 16	open
2026-08-28T18:25:00Z	how	spawn two how explorers on discover_places and search_local_places	how before changing a subsystem, two files is two slices	agents f7165d9c 718c648c	open
2026-08-28T18:45:00Z	frame	500-800 lines is the healthy band when C901 is at 10; 1000 lines is too large	user tightened file-length policy, do not split a 140-line queue fragment until deletion is measured	docs/lint-cleanup-plan.md L63-L66, user 2026-08-28	open
2026-08-28T18:50:00Z	cluster1	deleted dead branches, duplicate identity, second geography gate, coord pop wrapper	lines and radon both moved down, ruff stayed 0, 143 tests passed	discover_places 1000-982, search_local_places 432-374, pytest 103+40	kept
2026-08-28T19:05:00Z	cluster2	thread DiscoveryRequest through _search/_verify/_persist; fold empty-match into _interleaved unmatched list; inline _operation/_has_authoritative_location/_rider_distance_meters/_target_key; _validate_goal_key returns ToolResult or None	argument lists gone, _search radon 16 to 11 then 9 after coverage fold, ruff 0, 143 passed	discover_places 975-871, functions 47-44	kept
2026-08-28T19:20:00Z	cluster3	empty-area labels into _coverage; delete _limited_ranked_places; stamp scores in normalize; select current-location by index not id(); drop unused payload aliases; drop dead _search_targets else	lines 871-848, functions 44-43, ruff 0, 143 passed 32 subtests	discover 848 search 354, _search radon 9, _verify 17, _persist 17	kept
2026-08-28T19:22:00Z	revert	inlining open_now and max_results into validate_request	validate_request radon 9 to 13	put the two validators back	reverted
2026-08-28T19:23:00Z	revert	verify match collection as listcomps	_verify radon 17 to 19	restore explicit loops	reverted
2026-08-28T19:25:00Z	frame	deletion in these two files is exhausted short of splitting queue evidence	queue is ~140 cohesive lines, schema is the public tool contract, 848 is still above 800	do not split a 100-200 line fragment, do not start Batch 5	open
2026-08-28T19:40:00Z	cluster4	moved queue digest into queue_evidence.py and shared historical_pattern plus current_observations with present_places	Damn Lines I/O is a separate lifecycle with two callers, discover_places needed to land in 500-800	discover 848 to 714, present 896 to 877, queue_evidence 148, net 2098 to 2093, radon digest 15, ruff 0	kept
2026-08-28T19:42:00Z	verify	focused place tests including present queue	public execute path, patches on damn_lines module still bind	172 passed, 34 subtests, .pytest-places-simplify7	kept
2026-08-28T19:50:00Z	revert	deleted queue_evidence.py and restored digest next to _persist	how explorer: digest has one caller, present cannot share it, 144-line file is a persist sidecar	discover back to 848, present 895, 172 tests pending simplify8	reverted
2026-08-28T19:51:00Z	verify	re-ran place tests after the revert	execute path plus present queue	172 passed, 34 subtests, .pytest-places-simplify8	kept
2026-08-28T20:20:00Z	cluster5	in-file KEEP: product cartesian, target label key, map(len) buckets, presented_entity_registry.place_ids, reuse continuation sanitizer, drop session/dict guards	new _interleaved_sources was radon 11, persist/verify BoolOp and setcomps were free cuts without a split	discover 848 to 839, _interleaved 11 to 9, _verify 17 to 13, _persist 17 to 10, _matching 12 to 6, ruff 0	kept
2026-08-28T20:25:00Z	repair	Comment Sicko: drop attrgetter/itemgetter, name pairs/pending/coverage_targets, import presented_entity_registry, promote sanitized_continuation_tokens, zip strict=True	operator map was radon theater; entity_registry was an internal alias poke; sanitizer is the public store pattern	839 lines, 28 fns, 172 passed .pytest-places-simplify11	kept
2026-08-28T20:26:00Z	skip	named mapper wrapping search_local_places._model_place	function count must not rise; the sibling poke predates this cluster	_persist stays 10 with list(map(_model_place))	skipped
2026-08-28T20:27:00Z	frame	in-file deletion stalled; do not split queue again	839 is 39 over 800; remaining bulk is schema plus queue digest that must be read with persist	Batch 5 frozen, damn_lines.py frozen, present_places.py 895 untouched	open
