FIXED_POINT=5193b08
unit_id	files	action	reason	evidence	loc_delta	oxlint_delta	status
w0-inventory	.audit/frontend-refactor	leave	wave 0 snapshot only; test discovery is by pattern	tools/run-unit-tests.mjs listUnitTests uses new RegExp(scope.unitTestPattern) from scripts/frontend_quality_scope.json	0	0	ok
w1-1	lib/schema-primitives.ts,lib/agent-chat-event-validator.ts,lib/canonical-itinerary-schema.ts,lib/trip-response.ts	unify	identical zod primitives shared once	typecheck pass; lint pass; oxlint total 264 file counts unchanged; test:unit 1542 pass	-11	0	ok
w1-2	lib/agent-chat-stream.ts,lib/agent-chat-event-validator.ts,lib/mapbox-search.ts	parse-at-boundary	replace isRecord/typeof helpers with zod parse at SSE and Mapbox response edges	typecheck pass; lint pass; oxlint 264->250; mapbox 12->1 stream 7->4; test:unit 1542 pass	+18	-14	ok
w1-3	lib/utils.ts,components/smart-route/page/use-mobile-rail-sheet.ts,components/smart-route/map/route-preview-markers.ts	unify	one exported clamp; rail file has 4 call sites	typecheck pass; lint pass; oxlint total 250 file counts unchanged; test:unit 1542 pass	-1	0	ok
w1-4	lib/ws-ticket.ts,app/api/ws-ticket/route.ts	unify	export isLocalBackendBase from ws-ticket; delete route copy	typecheck pass; lint pass; oxlint 250 ws-ticket 4 route 0; test:unit 1542 pass	-8	0	ok
w1-5	components/smart-route/left-rail/alert-feed-threading.ts,components/smart-route/left-rail/alert-feed-normalizer.ts	unify	export normalizeIssueText from threading; delete normalizer copy	typecheck pass; lint pass; oxlint 250 file counts 1 and 2 unchanged; test:unit 1542 pass	-10	0	ok
w1-6	lib/agent-route-selection.ts	inline	inline Math.round(seconds/60) at sole call site; name remains on route-candidates	typecheck pass; lint pass; oxlint 250 file count 6 unchanged; test:unit 1542 pass	-4	0	ok
w1-7	lib/agent-chat-event-validator.ts,lib/use-agent-chat.test.mjs,components/smart-route/chat/itinerary-view-model.ts,components/smart-route/left-rail/alert-feed-threading.ts,components/smart-route/left-rail/alert-feed-copy.ts,components/smart-route/left-rail/live-data/route-reason-copy.ts,components/smart-route/left-rail/live-data.test.mjs	delete	clear 4 unused, 2 useless-escape, 2 require-yield, 5 startsWith	typecheck pass; lint pass; oxlint 250->237; file counts did not rise; test:unit 1542 pass	-13	-13	ok
w1-8-routes	app/api/**/route.ts	leave	GET/POST handlers already thin over postProxy/proxyToBackend	plan wave 1 item 8	0	0	ok
w1-8-read	components/map/subway-renderer.check.mjs,components/map/subway-palette.check.mjs	leave	check-script read helpers are out of product path	plan wave 1 item 8; files stay where they are	0	0	ok
w1-9-duration	components/smart-route/chat/itinerary-event-adapter.ts,components/smart-route/left-rail/route-display-compat.ts	leave	formatDurationMinutes vs formatDurationLabel are not identical; latter parses a string and returns it unchanged	inventory compared bodies	0	0	ok
w1-9-clock-at	components/smart-route/left-rail/live-data/formatters.ts	leave	formatClockAt uses empty-string fallback; not identical to formatNycRouteClock	inventory compared bodies	0	0	ok
w1-9-clock-time	components/smart-route/chat/itinerary-view-model.ts	leave	formatClockTime is the exported string wrapper; signature is not identical to formatNycRouteClock	inventory compared bodies	0	0	ok
w1-9-canonical	lib/smart-route.ts,lib/nyc-route-clock.ts,components/smart-route/left-rail/live-data/route-candidates.ts	leave	helpers that format or convert canonical duration/timing facts are not unification targets	AGENTS.md canonical data rule	0	0	ok
w1-9-arrival	lib/smart-route.ts	inline	formatArrival body was identical to formatNycRouteClock; call it directly	typecheck pass; lint pass; oxlint 237 file count 1 unchanged; test:unit 1542 pass	-4	0	ok
w1-wave-boundary	app,lib,components	leave	wave 1 complete; boundary checks	typecheck pass (retry after missing .next types); lint pass; oxlint 264->237; test:unit 1542 pass; coverage merged line 97.36->97.43 branch 91.92->91.89 function 96.68->96.66; build pass	0	-27	ok

w2-skip-mapbox	lib/mapbox-search.ts	leave	per-field coercion semantics; Wave 1 rewrite rejected	work order; current oxlint 12	0	0	ok
w2-skip-require-yield	lib/use-agent-chat.test.mjs	leave	test fakes; require-yield	work order	0	0	ok
w2-1-subway-widening	components/map/subway-network.ts	delete	remove explicit Record/return widening; keep inference via satisfies	typecheck pass; lint pass; test:unit 1542 pass; oxlint 31->28	-4	-3	ok
w2-1-subway-artifact	components/map/subway-network.ts	leave	artifact boundary; VisualFeatureProperties too thin to drop runtime GeoJSON guards; MapLibre/window platform; source_shape_ids is artifact field name	scripts/build/types.ts VisualFeatureProperties; import type would not make stringIds/Number coercions redundant	0	0	ok
w2-2-use-live-feed	lib/use-live-feed.ts	leave	websocket envelope: arrays pass typeof object and are ignored; undefined keys pass in-operator; z.object would change both	JSON.parse snapshot/bus_update/error branches	0	0	ok
w2-3-agent-chat-state	lib/agent-chat-state.ts	delete-redundant-check	ArrivalCardEvent already schema-parsed; replace typeof/spreads/assertion with typed fields and if-assign	typecheck pass; lint pass; test:unit 1542 pass; oxlint 11->0 total 247->236	+5	-11	ok
w2-4-smart-route-map	components/smart-route/map/smart-route-map.tsx	delete-redundant-check	typed accuracy/dwell/label fields; drop boardingBadgeStyle widening	typecheck pass; lint pass; test:unit 1542 pass; oxlint 9->4	-5	-5	ok
w2-4-smart-route-map-leave	components/smart-route/map/smart-route-map.tsx	leave	platform window; artifact json assertion; source_shape_ids artifact field name	remaining 4 findings	0	0	ok
w2-5-map-helpers	components/smart-route/map/smart-route-map-helpers.ts	delete-redundant-check	artifactUrl without Record assertion; waypoint coords already number|null	typecheck pass; lint pass; test:unit 1542 pass; oxlint 7->4	+2	-3	ok
w2-5-map-helpers-leave	components/smart-route/map/smart-route-map-helpers.ts	leave	artifact json assertion; MapLibre property string|array narrowing in mapFeatureArrayProperty	remaining 4 findings	0	0	ok
w2-6-itinerary-view-model	components/smart-route/chat/itinerary-view-model.ts	delete-redundant-check	typed first-leg/transfer/difference numbers; drop STRUCTURED_REASON_COPY Record widening	typecheck pass; lint pass; test:unit 1542 pass; oxlint 7->3	+3	-4	ok
w2-6-itinerary-view-model-leave	components/smart-route/chat/itinerary-view-model.ts	leave	string|RecommendationReason union discriminant cannot drop typeof without dropping string reasons	formatStructuredRecommendationReason	0	0	ok
w2-7-agent-route-selection	lib/agent-route-selection.ts	delete-redundant-check	typed RouteCoordinateFields from RouteStep/RouteCardEndpoint; drop unknown/typeof and empty spread	typecheck pass; lint pass; test:unit 1542 pass; oxlint 6->0	0	-6	ok
w2-8-route-metadata	components/smart-route/left-rail/live-data/route-metadata.ts	delete-redundant-check	Map.get returns number|undefined; drop typeof	typecheck pass; lint pass; test:unit 1542 pass; oxlint 6->2	0	-4	ok
w2-8-route-metadata-leave	components/smart-route/left-rail/live-data/route-metadata.ts	leave	Record lookups indexed by string from nearby-arrivals; satisfies would break callers	ROUTE_DESTINATION_FALLBACKS ROUTE_SERVICE_PATTERNS	0	0	ok
w2-9-route-stops	components/map/route-stops.ts	leave	platform boundary; MapLibre getSource GeoJSONSource assertions	oxlint 6 require-safety-comment-for-type-assertion	0	0	ok
w2-10-formatters	components/smart-route/left-rail/live-data/formatters.ts	delete-redundant-check	typed meters and match.index; drop TRANSIT_ABBREVIATIONS Record widening	typecheck pass; lint pass; test:unit 1542 pass; oxlint 6->1	+4	-5	ok
w2-10-formatters-leave	components/smart-route/left-rail/live-data/formatters.ts	leave	cleanDestinationLabel unknown is mixed live-feed label boundary	no-unknown-parameters remaining	0	0	ok
w2-11-route-view-itinerary	components/smart-route/left-rail/route-view-itinerary.tsx	delete-redundant-check	typed walkMinutes/nextDepartureMinutes/segment.minutes	typecheck pass; lint pass; test:unit 1542 pass; oxlint 6->2	+2	-4	ok
w2-11-route-view-itinerary-leave	components/smart-route/left-rail/route-view-itinerary.tsx	leave	platform boundary; window.setInterval id is number in browsers and Timeout in Node tests	typeof timer === number	0	0	ok
w2-12-alert-detail	components/smart-route/left-rail/alert-detail.tsx	delete-redundant-check	AlertFeedItem string fields already typed; drop disruptionAndGuidance widening	typecheck pass; lint pass; test:unit 1542 pass; oxlint 5->0	0	-5	ok
w2-13-use-mobile-rail-sheet	components/smart-route/page/use-mobile-rail-sheet.ts	delete-redundant-check	drop Record widening; nearest detent without Object.entries assertion	typecheck pass; lint pass; test:unit 1542 pass; oxlint 4->2	0	-2	ok
w2-13-use-mobile-rail-sheet-leave	components/smart-route/page/use-mobile-rail-sheet.ts	leave	platform boundary window and document	remaining 2 typeof findings	0	0	ok
w2-14-ws-ticket	lib/ws-ticket.ts	parse-at-boundary	zod parse of /api/ws-ticket JSON; per-field catch so bad ws_base_url does not drop a valid ticket	typecheck pass; lint pass; test:unit 1542 pass; oxlint 4->1; equiv pass: 21 payloads compared equal	+3	-3	ok
w2-14-ws-ticket-leave	lib/ws-ticket.ts	leave	platform boundary typeof window	isLocalBrowserHost	0	0	ok
w2-deferred-route-view-nearby	components/smart-route/left-rail/route-view-nearby.tsx	leave	deferred; 14-unit cap	oxlint 4	0	0	deferred
w2-deferred-route-candidates	components/smart-route/left-rail/live-data/route-candidates.ts	leave	deferred; 14-unit cap	oxlint 4	0	0	deferred
w2-deferred-agent-chat-stream	lib/agent-chat-stream.ts	leave	deferred; 14-unit cap	oxlint 4	0	0	deferred
w2-deferred-route-stops-features	components/map/route-stops-features.ts	leave	deferred; 14-unit cap	oxlint 3	0	0	deferred
